c1	c2	rang	count	percent
j	u	248	637	0.052
t	h	249	635	0.052
é	d	250	625	0.051
j	a	251	606	0.049
m	'	252	602	0.049
r	l	253	602	0.049
l	à	254	599	0.049
é	n	255	598	0.049
f	u	256	562	0.046
t	^d	257	562	0.046
'	h	258	562	0.046
o	f	259	557	0.045
y	s	260	540	0.044
f	é	261	527	0.043
u	j	262	508	0.041
x	p	263	507	0.041
c	é	264	500	0.041
f	l	265	498	0.041
e	-	266	489	0.040
e	g	267	488	0.040
g	o	268	469	0.038
l	,	269	466	0.038
d	s	270	465	0.038
a	q	271	463	0.038
u	é	272	462	0.038
é	a	273	461	0.038
s	-	274	459	0.037
i	p	275	456	0.037
a	^d	276	453	0.037
b	u	277	448	0.037
é	.	278	429	0.035
n	ç	279	423	0.034
ç	o	280	422	0.034
é	f	281	421	0.034
-	c	282	414	0.034
a	f	283	410	0.033
x	,	284	407	0.033
è	m	285	403	0.033
l	t	286	399	0.033
-	m	287	395	0.032
v	u	288	394	0.032
u	f	289	392	0.032
u	,	290	388	0.032
l	è	291	388	0.032
'	y	292	388	0.032
e	d	293	380	0.031
i	x	294	376	0.031
x	t	295	363	0.030
u	g	296	361	0.029
.	"	297	359	0.029
l	.	298	355	0.029
)	.	299	354	0.029
i	.	300	354	0.029
h	t	301	352	0.029
é	j	302	349	0.028
"	,	303	348	0.028
e	"	304	339	0.028
b	s	305	338	0.028
x	i	306	334	0.027
g	l	307	331	0.027
i	-	308	312	0.025
u	o	309	308	0.025
h	u	310	308	0.025
-	i	311	304	0.025
m	è	312	297	0.024
n	q	313	295	0.024
r	q	314	293	0.024
-	^d	315	288	0.023
)	,	316	287	0.023
x	e	317	283	0.023
r	p	318	282	0.023
-	l	319	276	0.023
p	è	320	276	0.023
s	y	321	276	0.023
e	)	322	273	0.022
r	f	323	271	0.022
'	^d	324	264	0.022
s	)	325	262	0.021
j	à	326	260	0.021
h	y	327	255	0.021
d	,	328	255	0.021
'	à	329	254	0.021
y	l	330	253	0.021
t	p	331	251	0.020
x	.	332	251	0.020
s	"	333	246	0.020
t	è	334	246	0.020
e	^d	335	241	0.020
r	b	336	234	0.019
a	,	337	230	0.019
a	j	338	227	0.019
-	t	339	226	0.018
é	b	340	225	0.018
p	^d	341	224	0.018
-	d	342	221	0.018
o	^d	343	220	0.018
c	^d	344	215	0.018
f	^d	345	212	0.017
o	q	346	210	0.017
g	t	347	209	0.017
-	e	348	204	0.017
d	^d	349	204	0.017
.	o	350	202	0.016
z	-	351	201	0.016
a	.	352	195	0.016
è	t	353	194	0.016
b	é	354	192	0.016
e	b	355	188	0.015
c	è	356	187	0.015
s	m	357	187	0.015
w	.	358	186	0.015
x	c	359	186	0.015
h	n	360	182	0.015
-	v	361	181	0.015
f	s	362	180	0.015
/	w	363	180	0.015
a	ç	364	179	0.015
o	v	365	179	0.015
l	y	366	177	0.014
r	y	367	176	0.014
à	,	368	173	0.014
d	è	369	171	0.014
u	.	370	167	0.014
è	c	371	167	0.014
o	j	372	165	0.013
é	o	373	165	0.013
-	p	374	164	0.013
y	o	375	163	0.013
é	q	376	163	0.013
h	r	377	161	0.013
b	j	378	161	0.013
h	è	379	159	0.013
l	b	380	157	0.013
x	a	381	153	0.012
"	.	382	149	0.012
a	-	383	148	0.012
t	y	384	146	0.012
d	m	385	146	0.012
(	c	386	146	0.012
(	e	387	145	0.012
l	g	388	140	0.011
s	^d	389	139	0.011
y	,	390	139	0.011
c	.	391	137	0.011
d	.	392	132	0.011
n	r	393	132	0.011
n	-	394	130	0.011
ç	u	395	127	0.010
(	p	396	126	0.010
y	p	397	126	0.010
e	q	398	123	0.010
è	v	399	117	0.010
s	f	400	116	0.009
h	^d	401	115	0.009
n	^d	402	114	0.009
è	g	403	114	0.009
o	e	404	113	0.009
c	k	405	112	0.009
g	/	406	111	0.009
u	y	407	110	0.009
y	é	408	108	0.009
n	j	409	107	0.009
g	è	410	105	0.009
l	h	411	105	0.009
r	ç	412	104	0.008
c	,	413	104	0.008
t	c	414	103	0.008
e	j	415	103	0.008
u	h	416	103	0.008
è	l	417	101	0.008
t	)	418	100	0.008
t	"	419	100	0.008
o	-	420	100	0.008
t	m	421	99	0.008
a	h	422	98	0.008
y	m	423	96	0.008
.	)	424	95	0.008
u	-	425	95	0.008
y	.	426	93	0.008
z	,	427	92	0.008
n	h	428	92	0.008
"	l	429	92	0.008
è	n	430	92	0.008
u	q	431	92	0.008
.	f	432	91	0.007
f	t	433	91	0.007
é	u	434	91	0.007
e	h	435	90	0.007
d	-	436	88	0.007
(	s	437	87	0.007
l	^d	438	86	0.007
ˇd	i	439	86	0.007
k	i	440	86	0.007
c	s	441	85	0.007
l	m	442	85	0.007
"	p	443	85	0.007
m	y	444	84	0.007
(	l	445	84	0.007
r	"	446	83	0.007
(	d	447	82	0.007
e	o	448	82	0.007
'	m	449	82	0.007
"	c	450	82	0.007
l	d	451	82	0.007
w	e	452	81	0.007
w	s	453	80	0.007
k	e	454	79	0.006
r	-	455	79	0.006
v	^d	456	79	0.006
s	/	457	78	0.006
à	-	458	77	0.006
x	-	459	77	0.006
l	c	460	76	0.006
o	w	461	76	0.006
z	e	462	76	0.006
e	ç	463	75	0.006
f	.	464	74	0.006
m	s	465	74	0.006
x	é	466	74	0.006
n	)	467	73	0.006
n	"	468	72	0.006
.	c	469	72	0.006
.	»	470	71	0.006
.	h	471	71	0.006
-	)	472	71	0.006
i	z	473	70	0.006
b	^d	474	70	0.006
w	i	475	70	0.006
c	q	476	69	0.006
t	'	477	69	0.006
o	.	478	68	0.006
o	,	479	68	0.006
(	m	480	66	0.005
.	p	481	66	0.005
-	s	482	66	0.005
a	o	483	65	0.005
y	r	484	64	0.005
a	z	485	63	0.005
z	o	486	63	0.005
b	t	487	63	0.005
l	p	488	62	0.005
/	a	489	62	0.005
f	,	490	62	0.005
y	n	491	61	0.005
.	a	492	61	0.005
s	h	493	60	0.005
r	)	494	60	0.005
e	y	495	59	0.005
p	,	496	59	0.005
(	a	497	58	0.005
g	s	498	58	0.005
x	q	499	57	0.005
-	f	500	56	0.005
g	,	501	56	0.005
s	b	502	56	0.005
-	b	503	56	0.005
-	o	504	56	0.005
i	k	505	56	0.005
o	h	506	56	0.005
h	,	507	55	0.004
à	.	508	55	0.004
/	p	509	55	0.004
m	l	510	54	0.004
-	j	511	53	0.004
n	l	512	53	0.004
m	,	513	52	0.004
d	h	514	52	0.004
"	s	515	52	0.004
r	/	516	52	0.004
y	t	517	51	0.004
p	ç	518	51	0.004
z	i	519	51	0.004
e	/	520	50	0.004
-	a	521	49	0.004
"	d	522	49	0.004
c	y	523	48	0.004
o	ˇd	524	48	0.004
n	è	525	48	0.004
-	à	526	48	0.004
(	j	527	48	0.004
h	p	528	48	0.004
l	)	529	48	0.004
g	m	530	47	0.004
o	x	531	47	0.004
g	h	532	47	0.004
m	n	533	46	0.004
"	e	534	46	0.004
(	o	535	45	0.004
g	.	536	45	0.004
(	i	537	45	0.004
z	a	538	45	0.004
.	e	539	44	0.004
(	q	540	44	0.004
u	^d	541	44	0.004
y	c	542	44	0.004
g	^d	543	43	0.004
v	è	544	43	0.004
a	x	545	43	0.004
b	y	546	43	0.004
i	u	547	43	0.004
"	m	548	42	0.003
"	a	549	40	0.003
é	^d	550	40	0.003
a	ˇd	551	39	0.003
"	f	552	39	0.003
.	n	553	38	0.003
p	y	554	38	0.003
/	i	555	38	0.003
'	t	556	38	0.003
m	/	557	38	0.003
o	z	558	37	0.003
t	/	559	37	0.003
e	w	560	36	0.003
d	g	561	36	0.003
é	i	562	36	0.003
/	s	563	36	0.003
"	r	564	35	0.003
é	)	565	34	0.003
(	v	566	33	0.003
m	.	567	33	0.003
-	n	568	33	0.003
è	b	569	33	0.003
a	e	570	33	0.003
(	h	571	33	0.003
s	è	572	32	0.003
a	k	573	32	0.003
/	c	574	32	0.003
i	"	575	31	0.003
n	z	576	31	0.003
è	q	577	30	0.002
s	l	578	30	0.002
n	b	579	30	0.002
n	y	580	29	0.002
p	.	581	29	0.002
s	ç	582	29	0.002
s	n	583	29	0.002
è	d	584	29	0.002
-	r	585	28	0.002
.	l	586	28	0.002
-	,	587	28	0.002
k	a	588	28	0.002
.	s	589	28	0.002
u	"	590	27	0.002
-	u	591	27	0.002
z	.	592	26	0.002
i	)	593	26	0.002
/	d	594	26	0.002
h	m	595	26	0.002
é	-	596	26	0.002
l	"	597	26	0.002
y	i	598	26	0.002
u	è	599	25	0.002
d	v	600	25	0.002
m	t	601	25	0.002
"	)	602	25	0.002
t	l	603	25	0.002
é	"	604	25	0.002
n	k	605	24	0.002
(	t	606	24	0.002
"	t	607	24	0.002
é	h	608	24	0.002
n	x	609	24	0.002
o	a	610	24	0.002
l	/	611	24	0.002
/	m	612	23	0.002
