letter frequency
/d 2.1784707405602981e-10
İ 1.6835186349437555e-07
— 6.1992039998167253e-05
‘ 2.1342663685335101e-06
“ 7.3586189282178554e-06
-d 1.2553494367308275e-09
£ 1.8216287335359642e-07
$ 7.9827206808416868e-06
§ 2.4510179692854444e-06
( 0.0015574670491563922
« 0.00038628259940159265
˙d 1.8438467331202387e-06
‰ 1.7984722400555259e-07
Ĳ 1.1763741999025609e-09
· 1.0159563756930985e-05
» 0.00039018348254567605
_d 4.2801537910056179e-08
< 5.4913232356387941e-06
¿ 1.939832366396359e-07
@ 3.7824744825290083e-05
Ç 6.6459091167670152e-06
Ŋ 2.8320119627283867e-09
¸d 1.7936372587054657e-06
Œ 9.055213724098898e-07
× 2.5699122778267331e-06
ǝ 1.1415186680535964e-08
\ 7.1959579705030664e-06
ß 7.5396562432568324e-07
≤ 7.5321994058767155e-08
≠ 2.1770863065980624e-08
º 2.4709918667608162e-05
d 0.032707303655940628
ç 0.00041472629544855047
h 0.0059369554426290288
l 0.042377290589867056
p 0.023315478550040233
t 0.057763405080656222
°d 3.176330552380789e-06
x 0.0033485228187797281
ˉd 1.0526054010088362e-05
Ǝ 2.3745331072107251e-09
– 5.2072830454965366e-05
# 4.0054151852749071e-05
√ 2.9077399143844542e-08
¤ 1.5188469936529549e-07
space 0.16524731160388895
› 1.8279583371336422e-05
+ 6.6616322439612852e-05
Æ 2.3347948159311994e-07
/ 0.00056749668669811213
ı 7.3903810990666883e-07
° 7.4039314856764928e-05
; 0.00049261360286380199
∞ 1.5275277198425422e-07
¼ 3.878006665784587e-08
? 0.0004625353838850703
À 5.3215385267965328e-05
≃ 3.3984143552740653e-09
÷ 5.9409120032971457e-08
† 2.4900160948878773e-06
È 1.8399613798750912e-05
Ð 1.5475128005625006e-08
[ 9.1058138889767344e-05
_ 0.00030273561973937385
à 0.0034652966246092555
c 0.02677246445809266
g 0.0081587460765910162
è 0.0025282090618119627
k 0.00070371863709258245
… 4.1532512370619763e-05
˘d 3.4059712384710779e-06
| 0.00020191418644853928
ð 3.6861684465037229e-07
s 0.064977154366607323
ˇd 1.2023392592245713e-05
w 0.00038503468633009218
{ 6.6538088312885859e-06
, 0.0095089613028575305
θ2 0.0
‚ 1.9185556064255993e-08
„ 2.9816151153382287e-07
¡ 2.260726203701731e-07
¥ 2.2350237750883208e-08
& 9.1661238136329993e-05
₩ 6.3175651476248634e-10
* 0.00044893881521192299
. 0.0082053706779437897
± 8.2457274572363098e-07
˝d 6.5528763366078208e-07
Ʒ 4.1390944070645666e-10
: 0.0013507669693385231
½ 3.4214529258482664e-07
> 2.7737496765873932e-05
É 0.00036040121672435092
≥ 5.3908240902009646e-08
b 0.0066674091912800534
f 0.0081754005056587052
é 0.019891688774250262
j 0.0027393695866797518
.d 5.7085591608470613e-07
n 0.060546279727680244
r 0.055439146767698129
v 0.011038937405352507
ù 0.0001567995095458395
´d 6.2887943708308326e-05
z 0.00089665802094604562
̑d 1.9606236665042684e-09
‑ 1.8167725001782728e-06
ʒ 9.99228903908422e-09
o 0.047621621381860643
’ 0.0015693089358550679
~d 4.9707334534815855e-05
¨d 0.00015808588849539933
© 1.1421757208556536e-05
! 0.00067807639447807152
¢ 6.5850685256347991e-08
% 0.00022123032787840644
) 0.0017116216386650835
” 7.4320116716848709e-06
ª 2.6844028896739228e-07
- 0.0026215497527427062
® 9.8092712110044691e-07
ĳ 2.178470740560298e-09
˛d 2.1030164042162139e-06
‹ 1.5405416111790284e-07
ẞ 2.8320119627283876e-10
= 5.1660220541394774e-05
¾ 5.6013227342146316e-08
‡ 3.6547319541274973e-08
ˋd 3.2392336035434651e-05
ŋ 2.9352002262577727e-08
œ 8.6815456368217428e-05
] 0.00012457485390482705
Þ 6.8142072934840669e-08
a 0.060795412967058086
,d 1.3126402722990883e-06
e 0.116192808778148
æ 1.6725918282709327e-06
i 0.060944473030267482
^d 0.0020190730357488962
m 0.02243164224889236
q 0.0071966983222322379
u 0.044281860197942398
y 0.0024225163837797293
˵d 2.2438248627771071e-09
} 9.0399933293711814e-06
ſ 1.7645612998538412e-08
þ 7.0991795628369396e-08
