keyslot	letter
E01_Shift	1
E02_Shift	2
E03_Shift	3
E04_Shift	4
E05_Shift	5
E06_Shift	6
E07_Shift	7
E08_Shift	8
E09_Shift	9
E10_Shift	0
D03_Alt	€
D01_Shift	A
D02_Shift	Z
D03_Shift	E
D04_Shift	R
D05_Shift	T
D06_Shift	Y
D07_Shift	U
D08_Shift	I
D09_Shift	O
D10_Shift	P
C01_Shift	Q
C02_Shift	S
C03_Shift	D
C04_Shift	F
C05_Shift	G
C06_Shift	H
C07_Shift	J
C08_Shift	K
C09_Shift	L
C10_Shift	M
B01_Shift	W
B02_Shift	X
B03_Shift	C
B04_Shift	V
B05_Shift	B
B06_Shift	N
